Source,Target,Type,Weight
26,562,unweighted,1
26,563,unweighted,1
26,564,unweighted,1
26,565,unweighted,1
26,566,unweighted,1
26,567,unweighted,1
26,568,unweighted,1
26,569,unweighted,1
27,570,unweighted,1
27,571,unweighted,1
27,572,unweighted,1
27,573,unweighted,1
27,574,unweighted,1
27,575,unweighted,1
27,576,unweighted,1
27,577,unweighted,1
27,578,unweighted,1
27,579,unweighted,1
27,580,unweighted,1
27,581,unweighted,1
27,582,unweighted,1
27,583,unweighted,1
27,584,unweighted,1
27,585,unweighted,1
27,586,unweighted,1
27,587,unweighted,1
27,588,unweighted,1
27,589,unweighted,1
27,590,unweighted,1
27,591,unweighted,1
27,592,unweighted,1
27,593,unweighted,1
27,594,unweighted,1
27,595,unweighted,1
27,596,unweighted,1
27,597,unweighted,1
27,598,unweighted,1
27,599,unweighted,1
27,600,unweighted,1
27,601,unweighted,1
27,602,unweighted,1
27,603,unweighted,1
27,604,unweighted,1
27,605,unweighted,1
27,606,unweighted,1
27,607,unweighted,1
27,608,unweighted,1
27,609,unweighted,1
28,610,unweighted,1
28,611,unweighted,1
28,612,unweighted,1
28,613,unweighted,1
28,614,unweighted,1
28,615,unweighted,1
28,616,unweighted,1
28,617,unweighted,1
28,618,unweighted,1
28,619,unweighted,1
28,620,unweighted,1
28,621,unweighted,1
28,622,unweighted,1
28,623,unweighted,1
28,624,unweighted,1
28,625,unweighted,1
28,626,unweighted,1
28,627,unweighted,1
28,628,unweighted,1
28,629,unweighted,1
28,630,unweighted,1
28,631,unweighted,1
28,632,unweighted,1
28,633,unweighted,1
28,634,unweighted,1
28,635,unweighted,1
28,636,unweighted,1
28,637,unweighted,1
28,638,unweighted,1
28,639,unweighted,1
28,640,unweighted,1
28,641,unweighted,1
28,642,unweighted,1
28,643,unweighted,1
28,644,unweighted,1
28,645,unweighted,1
28,646,unweighted,1
28,647,unweighted,1
28,648,unweighted,1
28,649,unweighted,1
29,650,unweighted,1
29,651,unweighted,1
29,652,unweighted,1
29,653,unweighted,1
29,654,unweighted,1
29,655,unweighted,1
29,656,unweighted,1
29,657,unweighted,1
29,658,unweighted,1
29,659,unweighted,1
29,660,unweighted,1
29,661,unweighted,1
29,662,unweighted,1
29,663,unweighted,1
29,664,unweighted,1
29,665,unweighted,1
29,666,unweighted,1
29,667,unweighted,1
29,668,unweighted,1
29,669,unweighted,1
29,670,unweighted,1
29,671,unweighted,1
29,672,unweighted,1
29,673,unweighted,1
29,674,unweighted,1
29,675,unweighted,1
29,676,unweighted,1
29,677,unweighted,1
29,678,unweighted,1
29,679,unweighted,1
29,680,unweighted,1
29,681,unweighted,1
29,682,unweighted,1
29,683,unweighted,1
29,684,unweighted,1
29,685,unweighted,1
29,686,unweighted,1
29,687,unweighted,1
29,688,unweighted,1
29,689,unweighted,1
30,690,unweighted,1
30,691,unweighted,1
30,692,unweighted,1
30,693,unweighted,1
30,694,unweighted,1
30,695,unweighted,1
30,696,unweighted,1
30,697,unweighted,1
30,698,unweighted,1
30,699,unweighted,1
30,700,unweighted,1
30,701,unweighted,1
30,702,unweighted,1
30,703,unweighted,1
30,704,unweighted,1
30,705,unweighted,1
30,706,unweighted,1
30,707,unweighted,1
30,708,unweighted,1
30,709,unweighted,1
30,710,unweighted,1
30,711,unweighted,1
30,712,unweighted,1
30,713,unweighted,1
30,714,unweighted,1
30,715,unweighted,1
30,716,unweighted,1
30,717,unweighted,1
30,718,unweighted,1
30,719,unweighted,1
30,720,unweighted,1
30,721,unweighted,1
30,722,unweighted,1
30,723,unweighted,1
30,724,unweighted,1
30,725,unweighted,1
30,726,unweighted,1
30,727,unweighted,1
30,728,unweighted,1
30,729,unweighted,1
31,730,unweighted,1
31,731,unweighted,1
31,732,unweighted,1
31,733,unweighted,1
31,734,unweighted,1
31,735,unweighted,1
31,736,unweighted,1
31,737,unweighted,1
31,738,unweighted,1
31,739,unweighted,1
31,740,unweighted,1
31,741,unweighted,1
31,742,unweighted,1
31,743,unweighted,1
31,744,unweighted,1
31,745,unweighted,1
31,746,unweighted,1
31,747,unweighted,1
31,748,unweighted,1
31,749,unweighted,1
31,750,unweighted,1
31,751,unweighted,1
31,752,unweighted,1
31,753,unweighted,1
31,754,unweighted,1
31,755,unweighted,1
31,756,unweighted,1
31,757,unweighted,1
31,758,unweighted,1
31,759,unweighted,1
31,760,unweighted,1
31,761,unweighted,1
31,762,unweighted,1
31,763,unweighted,1
31,764,unweighted,1
31,765,unweighted,1
31,766,unweighted,1
31,767,unweighted,1
31,768,unweighted,1
31,769,unweighted,1
32,770,unweighted,1
32,771,unweighted,1
32,772,unweighted,1
32,773,unweighted,1
32,774,unweighted,1
32,775,unweighted,1
32,776,unweighted,1
32,777,unweighted,1
32,778,unweighted,1
32,779,unweighted,1
